Every data entry should be divided by /
Write name as should be displayed, the same name should be postfix for image in /res folder
OBS: Picturename has to be in lowercase even if the plants name has capital letters, norwegian letters are normalized.
æ = ae , ø = oe , å = aa
Picture should be placed in res/drawable
Put in SoilType and LightType divided by ";"
Float for watering a week
Put in two Ints one for the starting month of planting and one for the end 0-12 divided by ";"
Put in an Int for climate zone up 1-8
Put in an Int for maximum days without water
Write a description

Name Soil Light waterPerWeek plantingMonth climateZone maxDaysWithoutWater description
Pelargonia/LOAM;SAND/FULL;PARTIAL/3/3;7/4/7/Blant alle populære pelargoniaer er 'Dronning Ingrid', også kjent som 'Mårbacka', klassikeren som aldri går av moten – en virkelig staselig stort, med store fylte blomster i lyserosa nyanser.
Tulipan/CHALK;SAND;LOAM/FULL/3/3;5/6/7/Tulipan (Tulipa) er en svært hardfør løkplante som settes i jorda om høsten (september–november) for å blomstre til våren. Løken overvintrer utmerket ute i norsk klima. Den foretrekker jord med god drenering, slik at løken ikke råtner om vinteren. Tulipanene trives både i full sol og halvskygge, og krever minimalt med vedlikehold utover vanning i tørre perioder under veksten.
Potet/SAND;LOAM;CLAY/FULL;PARTIAL/2/2;7/8/4/Poteter trives best på en solrik plass i løs, veldrenert jord og tåler fint varierende vær så lenge de får nok vann i tørre perioder. De krever moderat vedlikehold i form av hypping (dra jord opp rundt stilken) for å beskytte knollene mot sollys, men belønner deg til gjengjeld med stor avling på liten plass.
Lavendel/SOIL;CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/5;9/7/10/Lavendel elsker så mye sol som mulig og trives best i mager, godt drenert jord som minner om middelhavsklimaet. Den er svært selvgående og tørketålt når den først har etablert seg, men den trenger en lett beskjæring hver vår for å holde seg fyldig og unngå at den blir treete og glissen.
Rhododendron/CLAY;LOAM;SAND/FULL;PARTIAL/3/2;4/5/5/Rhododendron trives best i halvskygge og krever sur jord med lav pH-verdi for å virkelig blomstre og trives over tid. Den er relativt selvgående når den er etablert, men det er avgjørende at den får stå i veldrenert jord og får jevnlig tilgang på vann, spesielt gjennom tørre vårdager.
Jordbær/LOAM/FULL/3/4;7/6/4/Jordbær er noe de fleste elsker. De er lette å dyrke og inneholder mye antioksidanter. Ikke trenger du mye plass heller for å få noen gode munnfuller i løpet av sommerferien. En god avling kan gi 1–1,5 kg bær per kvadratmeter.
Tomat/CLAY;LOAM;SAND/FULL/7/2;7/3/1/Tomater er en varmekjør plante som trives best i solrike, lune omgivelser og i veldrenert jord. Den trenger jevnlig vanning og støtte for å vokse godt og gi god avling. Det anbefales å vokse tomater i drivhus for ekstra varme. Fjern gjerne sideskudd jevnlig for å få flere tomater og en sunn plante.
Agurk/LOAM/FULL/7/5;7/3/1/Agurk er en plante som vokser raskt og gir best avling i varme, beskyttende omgivelser. De vokses best i drivhus. Agurkplanten trives i næringsrik jord med jevn fuktighet og bør vannet ofte for å unngå bitre frukter. Agurk er en klatreplante og bør støttes med støttepinner.
Gulrot/CLAY;LOAM;SAND/FULL/3.5/3;8/5/3/Gulrot er en hardfør rotgrønnsak som trives best i løs, steinfri jord med jevn fuktighet. Den vokser godt i sol og krever vedlikehold, men jevnlig vanning gir søtere gulrøtter.
Syrin/LOAM;SAND/FULL/4/3;10/6/12/Syrin er en hardfør og lettstelt busk som er kjent for sine velduftende blomster. Den trives best i solrike omgivelser og kan bli flere meter høy. Beskjæres forsiktig etter blomstring for å bevare god blomstring året etter.
Solsikke/CHALK;SOIL;CLAY;LOAM;SAND/FULL/1.0/5;8/8/7/Solsikke er en rasktvoksende sommerblomst som følger solen og kan bli svært høy. Den trives best på et lunt og solrikt sted og tåler vind dårlig når den blir stor. Vannes jevnlig i tørre perioder, og bør støttes hvis den vokser seg høy for å unngå at den bøyer seg eller knekker.
Løytnantshjerte/SOIL;CHALK;LOAM/PARTIAL/1.0/1;6/8/7/Løytnantshjerte er en romantisk staude med buede blomsterstilker der de hjerteformede blomstene henger som små perler. Den trives best i halvskygge og i jevnt fuktig jord, og kan visne ned midt på sommeren hvis det blir for tørt. Planten liker å stå i fred og bør ikke flyttes når den først har etablert seg.
Paprika/LOAM;SAND/FULL/5.0/2;7/3/4/Paprika er en varmekjær grønnsak som trives best i solrike og lune omgivelser, gjerne i drivhus eller på en beskyttet plass utendørs. Den trenger jevn vanning og en lang vekstsesong for å utvikle søte og fargerike frukter. Plukk paprikaen etter hvert som den modner for å stimulere videre avling.
Stemorsblomst/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/3;6/5/2/Stemorsblomsten er en fiol, og lokker til seg både humler, bier og sommerfugler. Plantene blir cirka 15–25 cm høye og finnes i mange forskjellige farger. Den herlige, friske, fargerike og hardføre blomsten er en av de første vi kan plante ut i potter og balkongkasser. Stemorsblomsten tåler helt ned til 5 minusgrader, og selv om den kan henge litt med hodet i kulden, kvikner den raskt til når solen titter fram.
Prestekrage/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/2;6/7/2/Prestekrage er en kjent blomst, som lokker til seg humler, bier og småinsekter. Navnet sitt har den fått etter sine hvite kornblader som står som prestenes pipekrage rundt senteret. Prestekrage er en flerårig plante, som kan klippes helt ned for overvintring, og kan bli opptil 1 meter høyt når den er fullt utvokst.
Dahlia/CHALK;CLAY;LOAM;SAND/FULL/5/3;5/3/2/Dahlia, også kjent som georginer, er elsket og beundret - og det er lett å forstå hvorfor. De finnes i mengder av praktfulle farger og former, dessuten kan du faktisk spise selve knollen. Du kan dyrke Dahlia både fra frø og knoll. For at blomstringene skal vare lenge, er det best å forkultivere knollene innendørs på våren. De fleste sorter kan settes i gang allerede i perioden fra mars til mai. Etablerte georginer er tørste og vil ha rikelig med vann.
Rose/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/6;8/5/4/Roser gjør enhver hage vakker og velduftende, enten de klatrer, vokser i klynger eller blomstrer på busker. Roser ønsker seg en solrik plassering med minst seks timer sol hver dag – gjerne inntil en vegg eller pergola, et espalier eller gjerde. Det finnes imidlertid sorter som klarer seg med noe mindre sol.
Eple/CHALK;CLAY;LOAM;SAND/FULL/2/9;10/4/5/Ingen hage er komplett uten et epletre. Det gir god frukt sesong etter sesong og byr på en magisk blomstring om våren. Variasjonen av epletrær er stor, og det finnes tusenvis av sorter å velge mellom. Fruktene kan være søte eller syrlige, og ulike sorter passer best i ulike deler av landet. Trærne som selges i dag er dyrket fram for å være herdige.
Kirsebær/CLAY;LOAM;SAND/FULL/2/9;10/7/6/Å oppleve et kirsebærtre i blomst er en opplevelse man sent vil glemme, og gir frukt på sensommeren. I praksis går det an å dyrke et kirsebærtre fra en kirsebærkjerne, men det er betydelig enklere og mer praktisk å sette ned en ferdig plante. Plassen du har tenkt å plante kirsebærtreet på må ha en veldrenert og luftig jord rundt seg.
Plukksalat/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/4;6/2/2/Det er både enkelt og fornøyelig å dyrke salat. Salatfrø kan settes hele sesongen, og de gror allerede ved -5 grader. Det er derfor hendig å så direkte i dyrkingskasse eller i hagen om våren. Dekk gjerne frøene med en fiberduk til de begynner å gro. Mikromiljøet under duken blir varmt og fuktig, og frøene gror raskt. Vann regelmessig, ved tørke er det risiko for at salaten blir besk.
Persille/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/4/4;6/2/2/Persille er en kjent krydderurte med mye smak som er lett å gro i egen hage. Persillen er rik på både vitamin-C og jern. Både bladene og stilkene kan brukes som smaksforsterker i gryter, supper, buljonger og garnityr.
Basilikum/LOAM;SAND/FULL/7/5;6/1/1/Basilikum er en urt som er elsket for sine aromatiske, krydrede og velsmakende blad. Planten kan vokse seg stor med opprette, skjøre greiner og store, ovale, litt skålformede blader. Basilikum dyrkes først og fremst som ettårig sesongplante, men er egentlig toårig. I Norden dyrkes basilikum først og fremst som kjøkkenkrydder i potte innendørs, men kan om sommeren også plasseres ute, dersom forholdene er tilstrekkelig milde og beskyttede. Basilikum er relativt lettdyrket, men krever konstant fukt og må altså ikke tørke ut.
Rosmarin/CHALK;LOAM;SAND/FULL/2/2;6/4/4/Rosmarin har en krydret og søt smak, og den dufter lett av barnåler. Spredt mellom grenene kan det springe ut lyseblå blomster, om du ikke klipper den jevnlig. Nyttige pollinerende insekter, som bier og humler, er glad i disse blomstene. Rosmarin er eviggrønn og flerårig, men tåler normalt ikke våre kalde vintre. Mange velger derfor å dyrke rosmarin som en ettårig plante. Det er imidlertid fullt mulig å overvintre rosmarin i et svalt, men frostfritt rom.
Dill/CHALK;LOAM;SAND/FULL/4/4;6/4/2/Dill er en tradisjonsrik krydderurt i det skandinaviske kjøkkenet. Den er sentral i mange tradisjonsrike matretter, som gravlaks, rekesmørbrød, kreps og sommerens nypoteter. Dill er en litt vanskelig urt som krever et godt voksemiljø og må beskyttes mot sykdommer og skadedyr. Dill liker seg ikke noe særlig i tung jord, men bør ha grønnsaksjord som i tillegg er næringsrik, moldrik og godt drenert for å trives optimalt. Dill tåler ikke å tørke, så det er viktig å sørge for at jorden hele tiden er fuktig, uten å være våt.
Vårløk/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/3/2;9/4/3/Vårløk er en fin grønnsak å dyrke i hagen, som er mye brukt i det asiatiske kjøkken. Grønn i fargen og med frisk smak er det en ypperlig grønnsak å gro i hagen. Den krever jevnlig vanning og trives i porøs jord.
Gressløk/CHALK;CLAY;LOAM;SAND/FULL;PARTIAL/1/3;5/6/7/Gressløken har en mild og god løksmak, og den er rik på både kostfiber, vitamin A og E. Den danner fine tuer og får nydelige lilla blomster om den ikke klippes ned. Gressløken er flerårig, og overlever nesten hva det måtte være – selv de kaldeste vintre her i nord. Det skal virkelig mye til å ta livet av gressløken, i alle fall så lenge du har den ute. Gressløken kan høstes inn tidlig, før andre typer løk, og er derfor en spesielt nyttig urte i starten av dyrkingssesongen.
